,name,month,day,pr_max,tas_max
0,Anhui,April,16,0.000120983816,284.82214
1,Anhui,April,16,0.000120983816,299.4544
2,Anhui,April,16,0.000120983816,277.3813
3,Anhui,April,16,0.000120983816,275.93506
4,Anhui,April,16,0.000120983816,272.4338
5,Anhui,April,16,0.000120983816,300.47678
6,Anhui,April,16,0.000120983816,297.9428
7,Anhui,April,16,0.000120983816,280.80023
8,Anhui,April,16,0.000120983816,290.5127
9,Anhui,April,16,0.000120983816,285.2441
10,Anhui,April,16,0.000120983816,290.11386
11,Anhui,April,16,0.000120983816,292.9052
12,Anhui,August,16,8.426203e-05,284.82214
13,Anhui,August,16,8.426203e-05,299.4544
14,Anhui,August,16,8.426203e-05,277.3813
15,Anhui,August,16,8.426203e-05,275.93506
16,Anhui,August,16,8.426203e-05,272.4338
17,Anhui,August,16,8.426203e-05,300.47678
18,Anhui,August,16,8.426203e-05,297.9428
19,Anhui,August,16,8.426203e-05,280.80023
20,Anhui,August,16,8.426203e-05,290.5127
21,Anhui,August,16,8.426203e-05,285.2441
22,Anhui,August,16,8.426203e-05,290.11386
23,Anhui,August,16,8.426203e-05,292.9052
24,Anhui,December,16,1.5835385e-05,284.82214
25,Anhui,December,16,1.5835385e-05,299.4544
26,Anhui,December,16,1.5835385e-05,277.3813
27,Anhui,December,16,1.5835385e-05,275.93506
28,Anhui,December,16,1.5835385e-05,272.4338
29,Anhui,December,16,1.5835385e-05,300.47678
30,Anhui,December,16,1.5835385e-05,297.9428
31,Anhui,December,16,1.5835385e-05,280.80023
32,Anhui,December,16,1.5835385e-05,290.5127
33,Anhui,December,16,1.5835385e-05,285.2441
34,Anhui,December,16,1.5835385e-05,290.11386
35,Anhui,December,16,1.5835385e-05,292.9052
36,Anhui,February,15,5.656582e-05,284.82214
37,Anhui,February,15,5.656582e-05,299.4544
38,Anhui,February,15,5.656582e-05,277.3813
39,Anhui,February,15,5.656582e-05,275.93506
40,Anhui,February,15,5.656582e-05,272.4338
41,Anhui,February,15,5.656582e-05,300.47678
42,Anhui,February,15,5.656582e-05,297.9428
43,Anhui,February,15,5.656582e-05,280.80023
44,Anhui,February,15,5.656582e-05,290.5127
45,Anhui,February,15,5.656582e-05,285.2441
46,Anhui,February,15,5.656582e-05,290.11386
47,Anhui,February,15,5.656582e-05,292.9052
48,Anhui,January,16,1.1530212e-05,284.82214
49,Anhui,January,16,1.1530212e-05,299.4544
50,Anhui,January,16,1.1530212e-05,277.3813
51,Anhui,January,16,1.1530212e-05,275.93506
52,Anhui,January,16,1.1530212e-05,272.4338
53,Anhui,January,16,1.1530212e-05,300.47678
54,Anhui,January,16,1.1530212e-05,297.9428
55,Anhui,January,16,1.1530212e-05,280.80023
56,Anhui,January,16,1.1530212e-05,290.5127
57,Anhui,January,16,1.1530212e-05,285.2441
58,Anhui,January,16,1.1530212e-05,290.11386
59,Anhui,January,16,1.1530212e-05,292.9052
60,Anhui,July,16,6.764676e-05,284.82214
61,Anhui,July,16,6.764676e-05,299.4544
62,Anhui,July,16,6.764676e-05,277.3813
63,Anhui,July,16,6.764676e-05,275.93506
64,Anhui,July,16,6.764676e-05,272.4338
65,Anhui,July,16,6.764676e-05,300.47678
66,Anhui,July,16,6.764676e-05,297.9428
67,Anhui,July,16,6.764676e-05,280.80023
68,Anhui,July,16,6.764676e-05,290.5127
69,Anhui,July,16,6.764676e-05,285.2441
70,Anhui,July,16,6.764676e-05,290.11386
71,Anhui,July,16,6.764676e-05,292.9052
72,Anhui,June,16,5.851456e-05,284.82214
73,Anhui,June,16,5.851456e-05,299.4544
74,Anhui,June,16,5.851456e-05,277.3813
75,Anhui,June,16,5.851456e-05,275.93506
76,Anhui,June,16,5.851456e-05,272.4338
77,Anhui,June,16,5.851456e-05,300.47678
78,Anhui,June,16,5.851456e-05,297.9428
79,Anhui,June,16,5.851456e-05,280.80023
80,Anhui,June,16,5.851456e-05,290.5127
81,Anhui,June,16,5.851456e-05,285.2441
82,Anhui,June,16,5.851456e-05,290.11386
